material_code,material_description,supplier_id,current_price,currency,uom
8510031,Apex Carbon Road Bike: Ultra-lightweight aerodynamic frame with integrated cable routing.,SUP001,2150.00,EUR,EA
8510032,Vortex Aerodynamic Helmet: Wind-tunnel tested with 15 cooling vents and MIPS protection.,SUP001,180.00,EUR,EA
8510033,Grip-Master Cycling Gloves: Padded with high-density gel for vibration dampening.,SUP001,28.50,EUR,PR
8510034,Summit-Pro MTB Pedals: CNC-machined aluminum with adjustable tension for secure clipping.,SUP001,95.00,EUR,PR
8510035,Shift-Logic Derailleur Set: Electronic shifting system for precise gear changes.,SUP001,420.00,EUR,EA
8622040,Terra-Flex Trail Runners: High-traction outsole designed for mud and rocky terrain.,SUP002,110.00,EUR,PR
8622041,Hydro-Lite 2L Vest: Minimalist hydration pack with a 2-liter BPA-free water bladder.,SUP002,65.00,EUR,EA
8622042,Ultra-Grip Trekking Poles: Telescopic carbon fiber poles with ergonomic cork handles.,SUP002,72.00,EUR,PR
8622043,Solar-Peak Windbreaker: Recycled polyester fabric with UV 50+ protection.,SUP002,55.00,EUR,EA
8622044,Eco-Thrive Yoga Mat: Biodegradable natural rubber with a non-slip textured surface.,SUP002,32.00,EUR,EA
8733050,Stradivarius Leather Soccer Ball: Hand-stitched premium synthetic leather for professional play.,SUP003,38.00,EUR,EA
8733051,Titanium-Shield Shin Guards: Anatomically shaped with EVA foam backing for impact absorption.,SUP003,22.00,EUR,PR
8733052,Pro-Goalie Latex Gloves: 4mm German latex palm for superior grip in wet conditions.,SUP003,45.00,EUR,PR
8733053,Nitro-Speed Soccer Cleats: Lightweight microfiber upper with a conical stud configuration.,SUP003,89.00,EUR,PR
8733054,"Enduro-Mesh Team Jersey: Breathable, moisture-wicking fabric with reinforced stitching.",SUP003,42.00,EUR,EA
8844060,Court-King Tennis Racket: Graphite-tungsten frame designed for maximum power and control.,SUP004,80.00,EUR,EA
8844061,Spin-Pro Tennis Strings: Co-polyester construction for enhanced ball bite and durability.,SUP004,15.00,EUR,EA
8844062,Baseline Court Shoes: Lateral stability system with non-marking herringbone outsoles.,SUP004,95.00,EUR,PR
8844063,Precision Felt Tennis Balls: Pressurized cores with high-visibility felt for all surfaces.,SUP004,8.50,EUR,PK
8844064,Ace-Performance Visor: Curved brim with a moisture-absorbing sweatband.,SUP004,18.00,EUR,EA
8955070,Powder-Glide Downhill Skis: Multi-layer wood core with a carbon backbone for stability.,SUP005,520.00,EUR,PR
8955071,Polar-Vision Goggles: Dual-pane anti-fog lenses with 100% UVA/UVB protection.,SUP005,85.00,EUR,EA
8955072,Summit-Insulated Parka: 800-fill power down jacket with a waterproof GORE-TEX shell.,SUP005,380.00,EUR,EA
8955073,Edge-Control Ski Boots: Heat-moldable liner with a 120 flex rating for advanced skiers.,SUP005,155.00,EUR,PR
8955074,Avalanche-Safety Probe: 300cm aluminum probe with quick-lock tensioning system.,SUP005,60.00,EUR,EA
8100110,Aqua-Speed Racing Goggles: Low-profile hydrodynamic design with mirrored lenses.,SUP006,24.00,EUR,EA
8100111,Glide-Tech Competition Swimsuit: Chlorine-resistant fabric with 4-way stretch.,SUP006,68.00,EUR,EA
8100112,Power-Stroke Training Fins: Short-blade design to improve leg strength and tempo.,SUP006,32.00,EUR,PR
8100113,Logic-Cap Silicone Hat: High-stretch silicone to reduce water resistance.,SUP006,9.00,EUR,EA
8100114,"Dry-Core Microfiber Towel: Ultra-absorbent, quick-drying towel that packs down small.",SUP006,15.00,EUR,EA
8200220,Zenith Seamless Leggings: High-waisted compression fabric for unrestricted movement.,SUP007,18.00,EUR,EA
8200221,Flow-State Yoga Block: High-density EVA foam for support in deep stretching.,SUP007,7.50,EUR,EA
8200222,Lotus-Grip Headband: Non-slip velvet lining to keep hair secure during inversions.,SUP007,6.00,EUR,EA
8200223,Core-Balance Pilates Ball: Anti-burst PVC construction for core strengthening.,SUP007,14.00,EUR,EA
8200224,Aura-Weight Yoga Bolster: Organic cotton cover with buckwheat hull filling.,SUP007,38.00,EUR,EA
8300330,Puck-Master Hockey Stick: One-piece carbon composite with a mid-kick point.,SUP008,105.00,EUR,EA
8300331,Ice-Guard Helmet: Dual-density liner with a stainless steel cage for protection.,SUP008,140.00,EUR,EA
8300332,Velocity Pro Ice Skates: Heat-moldable boot with Tuuk Lightspeed edge holders.,SUP008,260.00,EUR,PR
8300333,Impact-Shield Shoulder Pads: Integrated sternum protection with anatomical caps.,SUP008,95.00,EUR,EA
8300334,Tactical Goalie Pads: Ultra-lightweight foam with reinforced leather for butterfly play.,SUP008,540.00,EUR,PR
8400440,Tidal-Wave Inflatable SUP: Drop-stitch technology for rigid performance.,SUP009,310.00,EUR,EA
8400441,Navigator Carbon Paddle: 3-piece adjustable shaft with a reinforced nylon blade.,SUP009,85.00,EUR,EA
8400442,Deep-Sea Wetsuit: 3/2mm limestone neoprene with blind-stitched seams.,SUP009,180.00,EUR,EA
8400443,Horizon Sailing Gloves: Amara leather palms with reinforced fingertips.,SUP009,28.00,EUR,PR
