LIFNR,NAME1,MATNR,MAKTX,Historical_Allocated_Quantity,Optimized_Allocated_Quantity,Delta_Allocated_Quantity,Historical_Actual_Spend_USD,Optimized_Actual_Spend_USD_Est_for_Combo,Historical_Total_Effective_Cost_for_Combo,Optimized_Total_Effective_Cost_for_Combo,Delta_Total_Effective_Cost_for_Combo,Historical_EffectiveCostPerUnit_USD,Optimized_EffectiveCostPerUnit_USD,Historical_AvgUnitPriceUSD_raw,Optimized_AvgUnitPriceUSD_raw,Historical_Total_cost_BasePrice,Historical_Total_cost_Tariff,Historical_Total_cost_Holding_LeadTime,Historical_Total_cost_Holding_LTVariability,Historical_Total_cost_Holding_Lateness,Historical_Total_cost_Risk_PriceVolatility,Historical_Total_cost_Impact_PriceTrend,Historical_Total_cost_Logistics,Optimized_Total_cost_BasePrice,Optimized_Total_cost_Tariff,Optimized_Total_cost_Holding_LeadTime,Optimized_Total_cost_Holding_LTVariability,Optimized_Total_cost_Holding_Lateness,Optimized_Total_cost_Risk_PriceVolatility,Optimized_Total_cost_Impact_PriceTrend,Optimized_Total_cost_Logistics,Delta_Total_cost_BasePrice,Delta_Total_cost_Tariff,Delta_Total_cost_Holding_LeadTime,Delta_Total_cost_Holding_LTVariability,Delta_Total_cost_Holding_Lateness,Delta_Total_cost_Risk_PriceVolatility,Delta_Total_cost_Impact_PriceTrend,Delta_Total_cost_Logistics,Historical_cost_BasePrice_Unit,Historical_cost_Tariff_Unit,Historical_cost_Holding_LeadTime_Unit,Historical_cost_Holding_LTVariability_Unit,Historical_cost_Holding_Lateness_Unit,Historical_cost_Risk_PriceVolatility_Unit,Historical_cost_Impact_PriceTrend_Unit,Historical_cost_Logistics_Unit,Optimized_cost_BasePrice_Unit,Optimized_cost_Tariff_Unit,Optimized_cost_Holding_LeadTime_Unit,Optimized_cost_Holding_LTVariability_Unit,Optimized_cost_Holding_Lateness_Unit,Optimized_cost_Risk_PriceVolatility_Unit,Optimized_cost_Impact_PriceTrend_Unit,Optimized_cost_Logistics_Unit
32,"TechGroup, Inc",1385,EMN-MOTOR,479,0.00,-479.00,172886.00,0.00,218234.56,0.00,-218234.56,455.60,455.60,364.00,364.00,174356.00,17435.60,5760.93,3711.77,274.80,5013.69,0.00,11681.76,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-174356.00,-17435.60,-5760.93,-3711.77,-274.80,-5013.69,0.00,-11681.76,364.00,36.40,12.03,7.75,0.57,10.47,0.00,24.39,364.00,36.40,12.03,7.75,0.57,10.47,0.00,24.39
31,"TechGroup, Inc",1385,EMN-MOTOR,371,0.00,-371.00,133489.00,0.00,187045.70,0.00,-187045.70,504.17,504.17,363.00,363.00,134673.00,33668.25,4649.00,3212.53,262.56,3650.27,-4805.86,11735.95,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,-134673.00,-33668.25,-4649.00,-3212.53,-262.56,-3650.27,4805.86,-11735.95,363.00,90.75,12.53,8.66,0.71,9.84,-12.95,31.63,363.00,90.75,12.53,8.66,0.71,9.84,-12.95,31.63
13,EV Parts Inc.,1385,EMN-MOTOR,255,0.00,-255.00,89456.00,0.00,110287.47,0.00,-110287.47,432.50,432.50,357.00,357.00,91035.00,9103.50,3232.35,2286.81,212.85,2679.03,0.00,1737.93,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-91035.00,-9103.50,-3232.35,-2286.81,-212.85,-2679.03,0.00,-1737.93,357.00,35.70,12.68,8.97,0.83,10.51,0.00,6.82,357.00,35.70,12.68,8.97,0.83,10.51,0.00,6.82
21,WaveCrest Labs,1385,EMN-MOTOR,229,0.00,-229.00,82006.00,0.00,105332.86,0.00,-105332.86,459.97,459.97,363.50,363.50,83241.50,8324.15,3325.10,1957.17,182.10,2366.17,0.00,5936.66,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-83241.50,-8324.15,-3325.10,-1957.17,-182.10,-2366.17,0.00,-5936.66,363.50,36.35,14.52,8.55,0.80,10.33,0.00,25.92,363.50,36.35,14.52,8.55,0.80,10.33,0.00,25.92
27,WaveCrest Labs,1385,EMN-MOTOR,209,0.00,-209.00,70642.00,0.00,99287.69,0.00,-99287.69,475.06,475.06,334.00,334.00,69806.00,17451.50,2753.99,1601.19,75.28,2023.18,0.00,5576.54,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-69806.00,-17451.50,-2753.99,-1601.19,-75.28,-2023.18,0.00,-5576.54,334.00,83.50,13.18,7.66,0.36,9.68,0.00,26.68,334.00,83.50,13.18,7.66,0.36,9.68,0.00,26.68
11,EV Parts Inc.,1385,EMN-MOTOR,222,0.00,-222.00,76796.00,0.00,97299.54,0.00,-97299.54,438.29,438.29,350.00,350.00,77700.00,7770.00,2299.08,1705.20,104.61,2252.19,0.00,5468.46,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-77700.00,-7770.00,-2299.08,-1705.20,-104.61,-2252.19,0.00,-5468.46,350.00,35.00,10.36,7.68,0.47,10.14,0.00,24.63,350.00,35.00,10.36,7.68,0.47,10.14,0.00,24.63
16,EV Parts Inc.,1385,EMN-MOTOR,228,0.00,-228.00,77658.00,0.00,94822.78,0.00,-94822.78,415.89,415.89,331.50,331.50,75582.00,7558.20,2478.68,1796.53,198.41,2175.87,0.00,5033.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-75582.00,-7558.20,-2478.68,-1796.53,-198.41,-2175.87,0.00,-5033.10,331.50,33.15,10.87,7.88,0.87,9.54,0.00,22.07,331.50,33.15,10.87,7.88,0.87,9.54,0.00,22.07
34,"TechGroup, Inc",1385,EMN-MOTOR,216,0.00,-216.00,75075.00,0.00,89787.33,0.00,-89787.33,415.68,415.68,345.00,345.00,74520.00,7452.00,2756.22,2033.01,159.32,2299.41,0.00,567.37,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-74520.00,-7452.00,-2756.22,-2033.01,-159.32,-2299.41,0.00,-567.37,345.00,34.50,12.76,9.41,0.74,10.65,0.00,2.63,345.00,34.50,12.76,9.41,0.74,10.65,0.00,2.63
36,"TechGroup, Inc",1385,EMN-MOTOR,182,0.00,-182.00,63953.00,0.00,82500.84,0.00,-82500.84,453.30,453.30,364.00,364.00,66248.00,6624.80,2237.91,1266.68,167.20,1990.99,0.00,3965.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-66248.00,-6624.80,-2237.91,-1266.68,-167.20,-1990.99,0.00,-3965.25,364.00,36.40,12.30,6.96,0.92,10.94,0.00,21.79,364.00,36.40,12.30,6.96,0.92,10.94,0.00,21.79
33,"TechGroup, Inc",1385,EMN-MOTOR,188,0.00,-188.00,66827.00,0.00,81343.56,0.00,-81343.56,432.68,432.68,363.00,363.00,68244.00,6824.40,1985.62,1818.05,82.68,1877.48,0.00,511.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-68244.00,-6824.40,-1985.62,-1818.05,-82.68,-1877.48,0.00,-511.32,363.00,36.30,10.56,9.67,0.44,9.99,0.00,2.72,363.00,36.30,10.56,9.67,0.44,9.99,0.00,2.72
26,WaveCrest Labs,1385,EMN-MOTOR,177,0.00,-177.00,64270.00,0.00,74621.27,0.00,-74621.27,421.59,421.59,351.00,351.00,62127.00,6212.70,2795.72,1092.07,117.09,1830.41,0.00,446.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-62127.00,-6212.70,-2795.72,-1092.07,-117.09,-1830.41,0.00,-446.29,351.00,35.10,15.79,6.17,0.66,10.34,0.00,2.52,351.00,35.10,15.79,6.17,0.66,10.34,0.00,2.52
35,"TechGroup, Inc",1385,EMN-MOTOR,161,0.00,-161.00,55786.00,0.00,70564.93,0.00,-70564.93,438.29,438.29,350.00,350.00,56350.00,5635.00,1722.93,1119.30,81.27,1622.35,0.00,4034.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-56350.00,-5635.00,-1722.93,-1119.30,-81.27,-1622.35,0.00,-4034.08,350.00,35.00,10.70,6.95,0.50,10.08,0.00,25.06,350.00,35.00,10.70,6.95,0.50,10.08,0.00,25.06
37,"TechGroup, Inc",1385,EMN-MOTOR,127,0.00,-127.00,46926.00,0.00,58299.38,0.00,-58299.38,459.05,459.05,381.00,381.00,48387.00,4838.70,2147.58,1176.27,135.28,1223.63,0.00,390.91,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-48387.00,-4838.70,-2147.58,-1176.27,-135.28,-1223.63,0.00,-390.91,381.00,38.10,16.91,9.26,1.07,9.63,0.00,3.08,381.00,38.10,16.91,9.26,1.07,9.63,0.00,3.08
12,EV Parts Inc.,1385,EMN-MOTOR,129,0.00,-129.00,44585.00,0.00,56855.74,0.00,-56855.74,440.74,440.74,349.00,349.00,45021.00,4502.10,1998.20,1125.94,102.27,1331.74,0.00,2774.49,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-45021.00,-4502.10,-1998.20,-1125.94,-102.27,-1331.74,0.00,-2774.49,349.00,34.90,15.49,8.73,0.79,10.32,0.00,21.51,349.00,34.90,15.49,8.73,0.79,10.32,0.00,21.51
25,WaveCrest Labs,1385,EMN-MOTOR,121,0.00,-121.00,45474.00,0.00,56081.39,0.00,-56081.39,463.48,463.48,363.00,363.00,43923.00,4392.30,1386.28,1198.29,81.87,1438.47,0.00,3661.18,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-43923.00,-4392.30,-1386.28,-1198.29,-81.87,-1438.47,0.00,-3661.18,363.00,36.30,11.46,9.90,0.68,11.89,0.00,30.26,363.00,36.30,11.46,9.90,0.68,11.89,0.00,30.26
17,EV Parts Inc.,1385,EMN-MOTOR,108,0.00,-108.00,38616.00,0.00,49051.31,0.00,-49051.31,454.18,454.18,360.00,360.00,38880.00,3888.00,1629.76,683.43,108.70,832.05,0.00,3029.36,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-38880.00,-3888.00,-1629.76,-683.43,-108.70,-832.05,0.00,-3029.36,360.00,36.00,15.09,6.33,1.01,7.70,0.00,28.05,360.00,36.00,15.09,6.33,1.01,7.70,0.00,28.05
24,WaveCrest Labs,1385,EMN-MOTOR,106,298.63,192.63,34385.00,100040.28,42086.08,118566.69,76480.61,397.04,397.04,335.00,335.00,35510.00,3551.00,930.31,855.98,66.19,900.04,0.00,272.57,100040.28,10004.03,2620.91,2411.51,186.46,2535.62,0.00,767.89,64530.28,6453.03,1690.60,1555.53,120.28,1635.58,0.00,495.32,335.00,33.50,8.78,8.08,0.62,8.49,0.00,2.57,335.00,33.50,8.78,8.08,0.62,8.49,0.00,2.57
23,WaveCrest Labs,1385,EMN-MOTOR,218,481.05,263.05,71021.00,156100.47,89864.37,198299.02,108434.64,412.22,412.22,324.50,324.50,70741.00,7074.10,2215.25,1766.67,114.28,1824.94,0.00,6128.13,156100.47,15610.05,4888.28,3898.42,252.17,4027.01,0.00,13522.63,85359.47,8535.95,2673.03,2131.75,137.89,2202.06,0.00,7394.50,324.50,32.45,10.16,8.10,0.52,8.37,0.00,28.11,324.50,32.45,10.16,8.10,0.52,8.37,0.00,28.11
14,EV Parts Inc.,1385,EMN-MOTOR,154,1063.86,909.86,54857.00,359585.69,61996.01,428280.92,366284.91,402.57,402.57,338.00,338.00,52052.00,5205.20,1373.31,1046.61,120.12,1790.76,0.00,408.01,359585.69,35958.57,9487.10,7230.23,829.81,12370.92,0.00,2818.60,307533.69,30753.37,8113.79,6183.61,709.69,10580.16,0.00,2410.59,338.00,33.80,8.92,6.80,0.78,11.63,0.00,2.65,338.00,33.80,8.92,6.80,0.78,11.63,0.00,2.65
15,EV Parts Inc.,1385,EMN-MOTOR,384,1286.28,902.28,128870.00,411610.88,156758.52,525093.67,368335.16,408.23,408.23,320.00,320.00,122880.00,12288.00,3575.31,3184.40,225.56,3809.70,0.00,10795.55,411610.88,41161.09,11976.20,10666.77,755.56,12761.35,0.00,36161.82,288730.88,28873.09,8400.90,7482.37,530.00,8951.65,0.00,25366.27,320.00,32.00,9.31,8.29,0.59,9.92,0.00,28.11,320.00,32.00,9.31,8.29,0.59,9.92,0.00,28.11
22,WaveCrest Labs,1385,EMN-MOTOR,411,1545.18,1134.18,143109.00,511453.29,169255.55,636325.15,467069.60,411.81,411.81,331.00,331.00,136041.00,13604.10,4025.33,3240.53,253.55,4543.77,0.00,7547.28,511453.29,51145.33,15133.45,12182.94,953.22,17082.54,0.00,28374.38,375412.29,37541.23,11108.12,8942.41,699.67,12538.77,0.00,20827.10,331.00,33.10,9.79,7.88,0.62,11.06,0.00,18.36,331.00,33.10,9.79,7.88,0.62,11.06,0.00,18.36
42,"LabSupply, Inc",4782,ECR-ZFRAME,253,0.00,-253.00,256258.00,0.00,313821.55,0.00,-313821.55,1240.40,1240.40,1036.00,1036.00,262108.00,26210.80,11180.88,5145.51,374.29,6822.98,0.00,1979.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-262108.00,-26210.80,-11180.88,-5145.51,-374.29,-6822.98,0.00,-1979.09,1036.00,103.60,44.19,20.34,1.48,26.97,0.00,7.82,1036.00,103.60,44.19,20.34,1.48,26.97,0.00,7.82
44,"LabSupply, Inc",4782,ECR-ZFRAME,192,0.00,-192.00,194638.00,0.00,239922.39,0.00,-239922.39,1249.60,1249.60,1038.03,1038.03,199300.80,19930.08,8649.10,5078.34,350.27,5177.91,0.00,1435.89,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-199300.80,-19930.08,-8649.10,-5078.34,-350.27,-5177.91,0.00,-1435.89,1038.03,103.80,45.05,26.45,1.82,26.97,0.00,7.48,1038.03,103.80,45.05,26.45,1.82,26.97,0.00,7.48
43,"LabSupply, Inc",4782,ECR-ZFRAME,95,0.00,-95.00,94775.00,0.00,118544.19,0.00,-118544.19,1247.83,1247.83,1004.50,1004.50,95427.50,9542.75,2500.07,2560.58,134.17,2561.99,0.00,5817.13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-95427.50,-9542.75,-2500.07,-2560.58,-134.17,-2561.99,0.00,-5817.13,1004.50,100.45,26.32,26.95,1.41,26.97,0.00,61.23,1004.50,100.45,26.32,26.95,1.41,26.97,0.00,61.23
41,"LabSupply, Inc",4782,ECR-ZFRAME,54,229.84,175.84,53592.00,225011.50,66056.33,281153.00,215096.66,1223.27,1223.27,979.00,979.00,52866.00,5286.60,2255.13,977.70,92.91,725.55,0.00,3852.44,225011.50,22501.15,9598.43,4161.33,395.46,3088.15,0.00,16396.97,172145.50,17214.55,7343.30,3183.64,302.55,2362.60,0.00,12544.54,979.00,97.90,41.76,18.11,1.72,13.44,0.00,71.34,979.00,97.90,41.76,18.11,1.72,13.44,0.00,71.34
45,"LabSupply, Inc",4782,ECR-ZFRAME,279,643.16,364.16,291444.00,656989.88,344170.05,793394.49,449224.44,1233.58,1233.58,1021.50,1021.50,284998.50,28499.85,9205.83,6840.33,567.68,7315.30,0.00,6742.57,656989.88,65698.99,21221.64,15768.59,1308.64,16863.51,0.00,15543.23,371991.38,37199.14,12015.81,8928.27,740.96,9548.22,0.00,8800.66,1021.50,102.15,33.00,24.52,2.03,26.22,0.00,24.17,1021.50,102.15,33.00,24.52,2.03,26.22,0.00,24.17
52,UtilitiesOne,5901,EMN-HANDLE,262,0.00,-262.00,47470.00,0.00,57996.97,0.00,-57996.97,221.36,221.36,185.00,185.00,48470.00,4847.00,2181.15,1048.31,65.66,996.88,0.00,387.97,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-48470.00,-4847.00,-2181.15,-1048.31,-65.66,-996.88,0.00,-387.97,185.00,18.50,8.32,4.00,0.25,3.80,0.00,1.48,185.00,18.50,8.32,4.00,0.25,3.80,0.00,1.48
51,UtilitiesOne,5901,EMN-HANDLE,158,0.00,-158.00,27121.00,0.00,36845.76,0.00,-36845.76,233.20,233.20,171.00,171.00,27018.00,6754.50,852.73,616.18,55.70,701.12,-884.58,1732.11,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,-27018.00,-6754.50,-852.73,-616.18,-55.70,-701.12,884.58,-1732.11,171.00,42.75,5.40,3.90,0.35,4.44,-5.60,10.96,171.00,42.75,5.40,3.90,0.35,4.44,-5.60,10.96
53,UtilitiesOne,5901,EMN-HANDLE,173,0.00,-173.00,29223.00,0.00,35444.26,0.00,-35444.26,204.88,204.88,168.50,168.50,29150.50,2915.05,790.66,743.92,32.44,648.28,-620.65,1784.06,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,-29150.50,-2915.05,-790.66,-743.92,-32.44,-648.28,620.65,-1784.06,168.50,16.85,4.57,4.30,0.19,3.75,-3.59,10.31,168.50,16.85,4.57,4.30,0.19,3.75,-3.59,10.31
56,UtilitiesOne,5901,EMN-HANDLE,132,0.00,-132.00,23325.00,0.00,28094.34,0.00,-28094.34,212.84,212.84,178.00,178.00,23496.00,2349.60,1008.07,519.63,56.30,494.64,0.00,170.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-23496.00,-2349.60,-1008.07,-519.63,-56.30,-494.64,0.00,-170.10,178.00,17.80,7.64,3.94,0.43,3.75,0.00,1.29,178.00,17.80,7.64,3.94,0.43,3.75,0.00,1.29
54,UtilitiesOne,5901,EMN-HANDLE,128,0.00,-128.00,21999.00,0.00,26460.72,0.00,-26460.72,206.72,206.72,174.00,174.00,22272.00,2227.20,757.86,516.06,23.65,500.70,0.00,163.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-22272.00,-2227.20,-757.86,-516.06,-23.65,-500.70,0.00,-163.25,174.00,17.40,5.92,4.03,0.18,3.91,0.00,1.28,174.00,17.40,5.92,4.03,0.18,3.91,0.00,1.28
57,UtilitiesOne,5901,EMN-HANDLE,113,0.00,-113.00,18664.00,0.00,23288.94,0.00,-23288.94,206.10,206.10,164.88,164.88,18630.88,1863.09,620.18,464.61,42.32,446.16,0.00,1221.71,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-18630.88,-1863.09,-620.18,-464.61,-42.32,-446.16,0.00,-1221.71,164.88,16.49,5.49,4.11,0.37,3.95,0.00,10.81,164.88,16.49,5.49,4.11,0.37,3.95,0.00,10.81
55,UtilitiesOne,5901,EMN-HANDLE,128,419.69,291.69,22567.00,69669.17,25074.71,82216.42,57141.71,195.90,195.90,166.00,166.00,21248.00,2124.80,586.79,425.28,35.46,506.23,0.00,148.16,69669.17,6966.92,1924.00,1394.43,116.26,1659.85,0.00,485.80,48421.17,4842.12,1337.21,969.15,80.80,1153.62,0.00,337.64,166.00,16.60,4.58,3.32,0.28,3.95,0.00,1.16,166.00,16.60,4.58,3.32,0.28,3.95,0.00,1.16
58,UtilitiesOne,5901,EMN-HANDLE,110,784.31,674.31,18894.00,130194.83,20991.50,149670.56,128679.07,190.83,190.83,166.00,166.00,18260.00,1826.00,478.39,321.61,23.70,412.20,-491.18,160.78,130194.83,13019.48,3410.95,2293.08,169.02,2939.03,-3502.16,1146.34,111934.83,11193.48,2932.56,1971.47,145.31,2526.83,-3010.98,985.57,166.00,16.60,4.35,2.92,0.22,3.75,-4.47,1.46,166.00,16.60,4.35,2.92,0.22,3.75,-4.47,1.46
63,"AdminSupply, Inc",6347,EMN-THROTTLE,250,0.00,-250.00,76218.00,0.00,91310.45,0.00,-91310.45,365.24,365.24,308.00,308.00,77000.00,7700.00,2430.25,1758.52,168.60,1752.25,0.00,500.82,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-77000.00,-7700.00,-2430.25,-1758.52,-168.60,-1752.25,0.00,-500.82,308.00,30.80,9.72,7.03,0.67,7.01,0.00,2.00,308.00,30.80,9.72,7.03,0.67,7.01,0.00,2.00
62,"AdminSupply, Inc",6347,EMN-THROTTLE,197,0.00,-197.00,61422.00,0.00,85522.88,0.00,-85522.88,434.13,434.13,309.50,309.50,60971.50,15242.88,2194.97,1322.15,134.61,1386.21,0.00,4270.57,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-60971.50,-15242.88,-2194.97,-1322.15,-134.61,-1386.21,0.00,-4270.57,309.50,77.38,11.14,6.71,0.68,7.04,0.00,21.68,309.50,77.38,11.14,6.71,0.68,7.04,0.00,21.68
65,"AdminSupply, Inc",6347,EMN-THROTTLE,155,0.00,-155.00,47721.00,0.00,56774.28,0.00,-56774.28,366.29,366.29,307.00,307.00,47585.00,4758.50,1642.66,1189.33,78.65,1105.46,0.00,414.69,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-47585.00,-4758.50,-1642.66,-1189.33,-78.65,-1105.46,0.00,-414.69,307.00,30.70,10.60,7.67,0.51,7.13,0.00,2.68,307.00,30.70,10.60,7.67,0.51,7.13,0.00,2.68
64,"AdminSupply, Inc",6347,EMN-THROTTLE,98,0.00,-98.00,31162.00,0.00,38579.96,0.00,-38579.96,393.67,393.67,314.50,314.50,30821.00,3082.10,1018.36,840.84,72.17,815.24,0.00,1930.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-30821.00,-3082.10,-1018.36,-840.84,-72.17,-815.24,0.00,-1930.26,314.50,31.45,10.39,8.58,0.74,8.32,0.00,19.70,314.50,31.45,10.39,8.58,0.74,8.32,0.00,19.70
67,"AdminSupply, Inc",6347,EMN-THROTTLE,56,0.00,-56.00,18228.00,0.00,21350.99,0.00,-21350.99,381.27,381.27,317.00,317.00,17752.00,1775.20,468.36,353.94,23.76,499.84,0.00,477.89,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-17752.00,-1775.20,-468.36,-353.94,-23.76,-499.84,0.00,-477.89,317.00,31.70,8.36,6.32,0.42,8.93,0.00,8.53,317.00,31.70,8.36,6.32,0.42,8.93,0.00,8.53
61,"AdminSupply, Inc",6347,EMN-THROTTLE,200,347.86,147.86,58401.00,105922.27,72667.12,126388.61,53721.49,363.34,363.34,304.50,304.50,60900.00,6090.00,2740.50,1191.50,67.90,1255.96,0.00,421.26,105922.27,10592.23,4766.50,2072.35,118.10,2184.47,0.00,732.69,45022.27,4502.23,2026.00,880.85,50.20,928.51,0.00,311.43,304.50,30.45,13.70,5.96,0.34,6.28,0.00,2.11,304.50,30.45,13.70,5.96,0.34,6.28,0.00,2.11
66,"AdminSupply, Inc",6347,EMN-THROTTLE,121,729.14,608.14,35082.00,203431.06,38851.53,234118.53,195267.00,321.09,321.09,279.00,279.00,33759.00,3375.90,1281.92,746.59,62.54,829.52,-1459.07,255.12,203431.06,20343.11,7724.84,4498.96,376.89,4998.64,-8792.31,1537.33,169672.06,16967.21,6442.92,3752.37,314.35,4169.13,-7333.24,1282.21,279.00,27.90,10.59,6.17,0.52,6.86,-12.06,2.11,279.00,27.90,10.59,6.17,0.52,6.86,-12.06,2.11
73,AdvertOne,7458,EMN-BRAKES,425,0.00,-425.00,177463.00,0.00,214182.79,0.00,-214182.79,503.96,503.96,425.00,425.00,180625.00,18062.50,6057.14,3523.97,319.26,4380.01,0.00,1214.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-180625.00,-18062.50,-6057.14,-3523.97,-319.26,-4380.01,0.00,-1214.90,425.00,42.50,14.25,8.29,0.75,10.31,0.00,2.86,425.00,42.50,14.25,8.29,0.75,10.31,0.00,2.86
75,AdvertOne,7458,EMN-BRAKES,205,0.00,-205.00,85504.00,0.00,107702.00,0.00,-107702.00,525.38,525.38,435.00,435.00,89175.00,8917.50,3298.24,1780.51,129.03,2250.82,0.00,2150.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-89175.00,-8917.50,-3298.24,-1780.51,-129.03,-2250.82,0.00,-2150.90,435.00,43.50,16.09,8.69,0.63,10.98,0.00,10.49,435.00,43.50,16.09,8.69,0.63,10.98,0.00,10.49
74,AdvertOne,7458,EMN-BRAKES,220,32.18,-187.82,91892.00,13417.10,108814.16,15914.22,-92899.94,494.61,494.61,417.00,417.00,91740.00,9174.00,2533.54,2036.96,165.95,2451.39,0.00,712.32,13417.10,1341.71,370.53,297.91,24.27,358.52,0.00,104.18,-78322.90,-7832.29,-2163.01,-1739.05,-141.68,-2092.87,0.00,-608.14,417.00,41.70,11.52,9.26,0.75,11.14,0.00,3.24,417.00,41.70,11.52,9.26,0.75,11.14,0.00,3.24
72,AdvertOne,7458,EMN-BRAKES,171,0.00,-171.00,70957.00,0.00,89971.72,0.00,-89971.72,526.15,526.15,421.00,421.00,71991.00,7199.10,2662.68,1694.18,171.27,2015.70,0.00,4237.79,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-71991.00,-7199.10,-2662.68,-1694.18,-171.27,-2015.70,0.00,-4237.79,421.00,42.10,15.57,9.91,1.00,11.79,0.00,24.78,421.00,42.10,15.57,9.91,1.00,11.79,0.00,24.78
