Rank,LIFNR,NAME1,MATNR,MAKTX,LAND1,EffectiveCostPerUnit_USD,FinalScore,POLineItemCount,AvgUnitPriceUSD_raw,StdDevUnitPriceUSD_raw,PriceVolatility_raw,PriceTrend_raw_slope,TariffImpact_raw_percent,AvgLeadTimeDays_raw,LeadTimeVariability_raw_days,OnTimeRate_raw,InFullRate_raw,cost_BasePrice,cost_Tariff,cost_Holding_LeadTime,cost_Holding_LTVariability,cost_Holding_Lateness,cost_Risk_PriceVolatility,cost_Impact_PriceTrend,cost_Logistics,AvgUnitPriceUSD_Norm,PriceVolatility_Norm,PriceTrend_Norm,TariffImpact_Norm,AvgLeadTimeDays_Norm,LeadTimeVariability_Norm,OnTimeRate_Norm,InFullRate_Norm
1,58,UtilitiesOne,5901,EMN-HANDLE,US,190.8317,0.8271,9,166.0000,14.9892,0.0799,-0.0992,10.0000,53.1250,21.6449,0.6667,0.4444,166.0000,16.6000,4.3490,2.9237,0.2155,3.7473,-4.4653,1.4616,0.9987,1.0000,0.3342,1.0000,1.0000,0.9965,0.8441,0.0991
2,55,UtilitiesOne,5901,EMN-HANDLE,US,195.8962,0.7736,14,166.0000,15.8197,0.0917,0.0000,10.0000,56.0000,24.5974,0.5714,0.7143,166.0000,16.6000,4.5843,3.3225,0.2770,3.9549,0.0000,1.1575,0.9987,0.7787,0.0000,1.0000,0.9246,0.7489,0.6202,0.7769
3,53,UtilitiesOne,5901,EMN-HANDLE,DE,204.8800,0.7946,14,168.5000,14.9892,0.0799,-0.0797,10.0000,55.0000,31.3625,0.7143,0.6429,168.5000,16.8500,4.5703,4.3001,0.1875,3.7473,-3.5876,10.3125,0.9958,1.0000,0.2685,1.0000,0.9508,0.1816,0.9561,0.5975
4,57,UtilitiesOne,5901,EMN-HANDLE,ID,206.0968,0.6189,12,164.8750,15.7932,0.0934,0.0000,10.0000,67.5000,30.6471,0.4167,0.5833,164.8750,16.4875,5.4883,4.1116,0.3745,3.9483,0.0000,10.8116,1.0000,0.7468,0.0000,1.0000,0.6230,0.2416,0.2563,0.4480
5,54,UtilitiesOne,5901,EMN-HANDLE,US,206.7243,0.7282,11,174.0000,15.6467,0.0895,0.0000,10.0000,69.0000,28.4755,0.7273,0.6364,174.0000,17.4000,5.9208,4.0317,0.1848,3.9117,0.0000,1.2754,0.9895,0.8187,0.0000,1.0000,0.5836,0.4237,0.9866,0.5812
6,56,UtilitiesOne,5901,EMN-HANDLE,US,212.8360,0.6474,13,178.0000,14.9892,0.0815,0.0000,10.0000,87.0000,27.1796,0.3846,0.6923,178.0000,17.8000,7.6369,3.9366,0.4265,3.7473,0.0000,1.2886,0.9850,0.9716,0.0000,1.0000,0.1115,0.5323,0.1809,0.7217
7,52,UtilitiesOne,5901,EMN-HANDLE,US,221.3624,0.6959,23,185.0000,15.2196,0.0841,0.0000,10.0000,91.2500,26.5800,0.6522,0.6957,185.0000,18.5000,8.3250,4.0012,0.2506,3.8049,0.0000,1.4808,0.9770,0.9219,0.0000,1.0000,0.0000,0.5826,0.8100,0.7301
8,51,UtilitiesOne,5901,EMN-HANDLE,CN,233.2010,0.5418,17,171.0000,17.7501,0.1031,-0.1244,25.0000,64.0000,28.0280,0.4706,0.6471,171.0000,42.7500,5.3970,3.8999,0.3525,4.4375,-5.5986,10.9627,0.9930,0.5637,0.4191,0.0000,0.7148,0.4612,0.3830,0.6080
9,66,"AdminSupply, Inc",6347,EMN-THROTTLE,US,321.0870,0.7590,13,279.0000,27.4222,0.0946,-0.2680,10.0000,77.0000,27.1789,0.5385,0.7692,279.0000,27.9000,10.5944,6.1702,0.5169,6.8555,-12.0584,2.1084,0.8693,0.7232,0.9026,1.0000,0.3738,0.5324,0.5427,0.9149
10,61,"AdminSupply, Inc",6347,EMN-THROTTLE,US,363.3357,0.6537,18,304.5000,25.1191,0.0853,0.0000,10.0000,91.2500,24.0444,0.7222,0.5000,304.5000,30.4500,13.7025,5.9575,0.3395,6.2798,0.0000,2.1063,0.8401,0.8991,0.0000,1.0000,0.0000,0.7952,0.9748,0.2387
11,63,"AdminSupply, Inc",6347,EMN-THROTTLE,US,365.2418,0.6311,22,308.0000,28.0362,0.0922,0.0000,10.0000,64.0000,28.0667,0.4545,0.5909,308.0000,30.8000,9.7210,7.0341,0.6744,7.0090,0.0000,2.0033,0.8361,0.7690,0.0000,1.0000,0.7148,0.4579,0.3453,0.4670
12,65,"AdminSupply, Inc",6347,EMN-THROTTLE,US,366.2858,0.6070,17,307.0000,28.5280,0.0930,0.0000,10.0000,70.0000,30.7164,0.5882,0.5294,307.0000,30.7000,10.5978,7.6731,0.5074,7.1320,0.0000,2.6754,0.8372,0.7533,0.0000,1.0000,0.5574,0.2357,0.6597,0.3125
13,85,BeSafe Inc,8961,ECR-SENSOR,US,370.9434,0.6606,20,322.5000,35.7790,0.1110,-0.2969,10.0000,69.0000,26.6104,0.5500,0.4500,322.5000,32.2500,10.9738,6.9831,0.5688,8.9447,-13.3602,2.0831,0.8195,0.4138,1.0000,1.0000,0.5836,0.5801,0.5698,0.1131
14,67,"AdminSupply, Inc",6347,EMN-THROTTLE,MX,381.2675,0.6939,6,317.0000,35.7029,0.1139,0.0000,10.0000,53.5000,24.5031,0.6667,0.6667,317.0000,31.7000,8.3636,6.3204,0.4242,8.9257,0.0000,8.5337,0.8258,0.3592,0.0000,1.0000,0.9902,0.7568,0.8441,0.6573
15,82,BeSafe Inc,8961,ECR-SENSOR,US,385.3702,0.4548,16,318.0000,39.9937,0.1251,0.0000,10.0000,90.5000,33.3527,0.6250,0.5625,318.0000,31.8000,14.1924,8.6302,0.4674,9.9984,0.0000,2.2817,0.8246,0.1484,0.0000,1.0000,0.0197,0.0147,0.7461,0.3956
16,64,"AdminSupply, Inc",6347,EMN-THROTTLE,IN,393.6732,0.5393,12,314.5000,33.2753,0.1087,0.0000,10.0000,67.0000,33.5277,0.4167,0.6667,314.5000,31.4500,10.3914,8.5800,0.7364,8.3188,0.0000,19.6965,0.8286,0.4575,0.0000,1.0000,0.6361,0.0000,0.2563,0.6573
17,84,BeSafe Inc,8961,ECR-SENSOR,MX,394.5723,0.5941,16,326.5000,42.7754,0.1328,0.0000,10.0000,63.5000,21.6027,0.7330,0.4375,326.5000,32.6500,10.2244,5.7392,0.3418,10.6938,0.0000,8.4230,0.8149,0.0013,0.0000,1.0000,0.7279,1.0000,1.0000,0.0817
18,24,WaveCrest Labs,1385,EMN-MOTOR,US,397.0385,0.6622,13,335.0000,33.9636,0.1004,0.0000,10.0000,53.1250,29.6244,0.5385,0.6923,335.0000,33.5000,8.7765,8.0753,0.6244,8.4909,0.0000,2.5714,0.8052,0.6136,0.0000,1.0000,1.0000,0.3273,0.5427,0.7217
19,87,BeSafe Inc,8961,ECR-SENSOR,IN,398.4590,0.5225,14,317.0000,41.7215,0.1305,0.0000,10.0000,91.0000,24.4698,0.7330,0.5000,317.0000,31.7000,14.2259,6.3118,0.3318,10.4304,0.0000,18.4591,0.8258,0.0456,0.0000,1.0000,0.0066,0.7596,1.0000,0.2387
20,14,EV Parts Inc.,1385,EMN-MOTOR,US,402.5716,0.5117,14,338.0000,46.5134,0.1329,0.0000,10.0000,53.5000,24.7106,0.4286,0.4050,338.0000,33.8000,8.9176,6.7962,0.7800,11.6283,0.0000,2.6494,0.8017,0.0000,0.0000,1.0000,0.9902,0.7394,0.2842,0.0000
21,15,EV Parts Inc.,1385,EMN-MOTOR,ID,408.2253,0.5292,33,320.0000,39.6845,0.1188,0.0000,10.0000,59.0000,31.8480,0.5455,0.4848,320.0000,32.0000,9.3107,8.2927,0.5874,9.9211,0.0000,28.1134,0.8223,0.2670,0.0000,1.0000,0.8459,0.1409,0.5591,0.2006
22,22,WaveCrest Labs,1385,EMN-MOTOR,HU,411.8140,0.5215,39,331.0000,44.2215,0.1292,0.0000,10.0000,60.0000,29.2740,0.5385,0.5128,331.0000,33.1000,9.7940,7.8845,0.6169,11.0554,0.0000,18.3632,0.8097,0.0705,0.0000,1.0000,0.8197,0.3567,0.5427,0.2709
23,23,WaveCrest Labs,1385,EMN-MOTOR,ID,412.2219,0.6401,20,324.5000,33.4853,0.1021,0.0000,10.0000,63.5000,30.6918,0.6000,0.7000,324.5000,32.4500,10.1617,8.1040,0.5242,8.3713,0.0000,28.1107,0.8172,0.5820,0.0000,1.0000,0.7279,0.2378,0.6874,0.7410
24,81,BeSafe Inc,8961,ECR-SENSOR,US,414.3345,0.4124,13,343.0000,41.8327,0.1241,0.0000,10.0000,91.0000,28.2829,0.3077,0.5385,343.0000,34.3000,15.3927,7.8937,0.9308,10.4582,0.0000,2.3591,0.7960,0.1668,0.0000,1.0000,0.0066,0.4398,0.0000,0.3353
25,34,"TechGroup, Inc",1385,EMN-MOTOR,US,415.6820,0.4215,17,345.0000,42.5816,0.1223,0.0000,10.0000,75.0000,33.5277,0.4706,0.4118,345.0000,34.5000,12.7603,9.4121,0.7376,10.6454,0.0000,2.6267,0.7937,0.2008,0.0000,1.0000,0.4262,0.0000,0.3830,0.0170
26,16,EV Parts Inc.,1385,EMN-MOTOR,IN,415.8893,0.5390,20,331.5000,38.1731,0.1137,0.0000,10.0000,66.5000,29.2112,0.3500,0.6500,331.5000,33.1500,10.8714,7.8795,0.8702,9.5433,0.0000,22.0750,0.8092,0.3635,0.0000,1.0000,0.6492,0.3620,0.0995,0.6154
27,26,WaveCrest Labs,1385,EMN-MOTOR,US,421.5890,0.5384,15,351.0000,41.3650,0.1168,0.0000,10.0000,91.2500,21.6027,0.5333,0.5333,351.0000,35.1000,15.7950,6.1699,0.6615,10.3413,0.0000,2.5214,0.7868,0.3049,0.0000,1.0000,0.0000,1.0000,0.5306,0.3224
28,83,BeSafe Inc,8961,ECR-SENSOR,TH,421.9525,0.5162,21,339.0000,46.0220,0.1329,0.0000,10.0000,62.0000,25.1448,0.3810,0.5714,339.0000,33.9000,10.3650,6.9360,0.8226,11.5055,0.0000,19.4233,0.8006,0.0000,0.0000,1.0000,0.7672,0.7030,0.1723,0.4181
29,86,BeSafe Inc,8961,ECR-SENSOR,CN,428.7067,0.4729,11,305.0000,37.6718,0.1208,0.0000,25.0000,79.0000,23.6636,0.5455,0.8031,305.0000,76.2500,11.8825,5.8728,0.5434,9.4179,0.0000,19.7401,0.8395,0.2284,0.0000,0.0000,0.3213,0.8272,0.5591,1.0000
30,88,BeSafe Inc,8961,ECR-SENSOR,DE,431.5619,0.4912,15,346.0000,44.6193,0.1315,0.0000,10.0000,65.0000,32.8361,0.4000,0.7333,346.0000,34.6000,11.0910,9.2447,0.8137,11.1548,0.0000,18.6578,0.7926,0.0258,0.0000,1.0000,0.6885,0.0580,0.2171,0.8247
31,13,EV Parts Inc.,1385,EMN-MOTOR,MX,432.4999,0.4597,19,357.0000,42.0239,0.1198,0.0000,10.0000,72.0000,30.8716,0.4211,0.4737,357.0000,35.7000,12.6759,8.9679,0.8347,10.5060,0.0000,6.8154,0.7800,0.2469,0.0000,1.0000,0.5049,0.2227,0.2666,0.1726
32,33,"TechGroup, Inc",1385,EMN-MOTOR,US,432.6785,0.6517,20,363.0000,39.9464,0.1102,0.0000,10.0000,59.0000,32.7400,0.7000,0.8000,363.0000,36.3000,10.5618,9.6705,0.4398,9.9866,0.0000,2.7198,0.7731,0.4297,0.0000,1.0000,0.8459,0.0661,0.9225,0.9922
