LIFNR,NAME1,MATNR,MAKTX,Allocated_Quantity,EffectiveCostPerUnit_USD,Optimized_Total_Effective_Cost_for_Combo,AvgUnitPriceUSD_raw
14,EV Parts Inc.,1385,EMN-MOTOR,1063.8630,387.1804,411906.9019,338.0000
15,EV Parts Inc.,1385,EMN-MOTOR,1286.2840,398.0473,512001.8732,320.0000
23,WaveCrest Labs,1385,EMN-MOTOR,595.6869,397.7938,236960.5595,324.5000
24,WaveCrest Labs,1385,EMN-MOTOR,298.6277,376.2071,112345.8610,335.0000
26,WaveCrest Labs,1385,EMN-MOTOR,357.8644,403.9467,144558.1353,351.0000
34,"TechGroup, Inc",1385,EMN-MOTOR,1072.6740,396.0488,424831.2505,345.0000
41,"LabSupply, Inc",4782,ECR-ZFRAME,159.0581,1194.8050,190043.4251,979.0000
42,"LabSupply, Inc",4782,ECR-ZFRAME,713.9419,1173.8846,838085.3900,1036.0000
55,UtilitiesOne,5901,EMN-HANDLE,419.6938,187.8860,78854.5931,166.0000
58,UtilitiesOne,5901,EMN-HANDLE,784.3062,181.9102,142673.2941,166.0000
63,"AdminSupply, Inc",6347,EMN-THROTTLE,347.8564,346.5018,120532.8687,308.0000
66,"AdminSupply, Inc",6347,EMN-THROTTLE,729.1436,308.2787,224779.4411,279.0000
71,AdvertOne,7458,EMN-BRAKES,844.8762,441.7918,373259.3551,383.0000
74,AdvertOne,7458,EMN-BRAKES,32.1753,471.4595,15169.3277,417.0000
76,AdvertOne,7458,EMN-BRAKES,709.9486,454.9337,322979.5434,413.0000
82,BeSafe Inc,8961,ECR-SENSOR,720.7296,369.9439,266629.5339,318.0000
85,BeSafe Inc,8961,ECR-SENSOR,663.2704,353.3206,234347.0816,322.5000
